"city","count(*)","avg(price)"
"Williamsburg",964,383268.734440
"Englewood",963,538617.328141
"Glendale",963,686397.011423
"Bowling Green",959,309624.721585
"Harrisburg",958,295863.529228
"Winter Haven",957,325447.637409
"Warren",956,256628.528243
"Nampa",955,594016.561257
"Mobile",954,219917.764151
"Spokane",953,502244.963274
"Ellijay",952,226472.082983
"Roanoke",951,372210.659306
"Olathe",950,557889.096842
"Monticello",949,272142.621602
"Fort Wayne",949,228313.047418
"Danville",948,500099.725738
"Medford",944,511794.442797
"Fremont",943,688994.480382
"San Marcos",940,561735.868085
"Beaufort",936,508529.711538
"Yuma",936,262085.110043
"Rockford",934,230596.011777
"Concord",932,564067.510730
"North Las Vegas",929,402256.733046
"Forney",928,430241.146552
"Suffolk",928,401131.556034
"Pensacola",921,440796.667752
"Venice",920,864717.646739
"Boise",919,712713.833515
"Tyler",908,389316.412996
"Plainfield",899,445555.714127
"Woodstock",895,522583.307263
"Lansing",895,172358.186592
"Mansfield",889,434069.876265
"Bonita Springs",888,894771.212838
"Yukon",887,336386.524239
"Bloomington",882,355367.979592
"Park City",882,2684038.823129
"Amarillo",878,317544.470387
"Daytona Beach",876,397455.147260
"Fairfield",876,604035.881279
"Boston",874,1881760.054920
"Aiken",873,266573.151203
"Ankeny",873,337659.879725
"Billings",873,320001.431844
"Tacoma",873,599506.269187
"Kingman",873,179010.974800
"Chattanooga",872,388129.728211
"Cumming",871,707037.187141
"Littleton",871,680866.489093
"Salisbury",869,355030.441887
"Maricopa",867,415673.389850
"Baytown",866,350384.931871
"Toledo",866,140989.491917
"Syracuse",864,248392.178472
"Lawrenceville",862,432695.663573
"Seguin",860,394793.983721
"Asheville",860,593793.936047
"Manchester",859,398322.712281
"Windsor",859,481935.646100
"Hemet",859,377480.575087
"Southport",854,365155.728337
"Humble",850,390201.716471
"Lees Summit",846,492363.287234
"Marshall",844,233110.851896
"Saratoga Springs",844,666942.438389
"Evansville",841,192533.947681
"Hot Springs Village",836,55739.527512
"Kingston",836,346611.221292
"Antioch",835,516800.057623
"Gulfport",834,270112.529976
"Jonesboro",834,308423.934053
"Zephyrhills",834,312286.296163
"Milford",832,407899.737981
"Sparta",831,232773.652563
"Santa Fe",829,889916.428227
"Frederick",827,513071.602177
"Apple Valley",826,357981.945521
"Converse",825,322863.949091
"Las Cruces",824,315323.998786
"Rosharon",824,418123.457524
"Casa Grande",823,427744.048603
"Bridgeport",820,281799.064634
"Hayesville",820,113662.179268
"Toms River",818,456622.074572
"Hillsboro",816,393021.640931
"Jamestown",814,255738.756790
"Somerset",813,377123.413284
"Chester",813,357657.329643
"Hamilton",811,405617.294698
"Norwalk",810,501949.687654
"Brunswick",809,375115.526576
"Surprise",808,533449.038366
"Sunny Isles Beach",805,2263214.337441
"Livingston",805,481012.673292
"Flint",804,131417.181592
"Chesterfield",803,458263.135741
"Waynesville",800,210942.005000
"Melbourne",798,463230.716792
"Brandon",797,359387.496863
"Dover",786,388328.215013
"Jefferson",785,331343.777070
"Orange",785,492020.773248
"Blairsville",784,167867.644133
"Cedar Rapids",782,265862.639386
"Brighton",777,611930.100386
"Deland",776,320483.838918
"Lewes",776,667369.474227
"Hardeeville",776,387174.189433
"Gulf shores",774,523030.138243
"Bend",767,966632.140808
"Roseville",764,532276.990838
"Stockton",764,476226.977749
"Lake Havasu City",763,528169.651376
"New Bern",763,277227.693316
"Hialeah",761,401574.813403
"Weatherford",760,424642.051316
"Bristol",757,280375.256614
"Camden",757,201209.755614
"Westminster",755,459161.414570
"Perry",755,246435.888742
"Erie",755,335400.901987
"Buckeye",752,477835.071809
"Morgantown",751,308839.159787
"Wasilla",750,323115.376000
"Mechanicsburg",747,483747.852744
"Pueblo",744,248163.618280
"Homosassa",742,204438.396226
"Carrollton",742,349906.858491
"Green Bay",741,261555.043185
"Rocky Mount",740,184592.321622
"Castle Rock",735,832433.536054
"Overland Park",735,660275.296599
"Denham Springs",733,248949.330150
"Riverview",732,460014.133880
"McDonough",729,441456.507545
"Morristown",729,328636.942387
"Pasadena",729,1035961.368999
"Ogden",727,547951.932600
"Leland",725,375170.973793
"Summerville",725,408395.924138
"Portsmouth",724,398604.157459
"Avon",721,817373.649098
"Norman",719,337823.563282
"Clermont",717,499790.062762
"Tomball",715,558604.646154
"Plymouth",714,471039.421569
"Victorville",714,455359.162465
"Grand Rapids",713,319516.695652
"Waverly",710,252370.808451
"Jersey City",709,803149.891396
"Corona",705,853400.930496
"Abilene",704,247564.711648
"Chandler",704,521246.360795
"Saint Johns",703,518253.504979
"Schenectady",700,268777.097143
"Belleville",698,270582.941261
"Forest Hills",693,518462.536797
"Puyallup",689,587817.187228
"Slidell",687,273773.310044
"Caldwell",685,591524.641606
"Willis",684,349572.583333
"Wesley Chapel",682,487368.123167
"Stuart",682,544801.728739
"Edinburg",681,343023.118943
